"","iso_code","continent","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","datestime"
"11","AUS","Oceania",1709,611,7,0,67.02,23.961,0.275,0,814876.402985075,20880.640625,31.9560597014925,0.8188125,19373.4027777778,0.759736111111111,50,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,95,3.84,83
"12","AUT","Europe",7029,1141,52,18,780.445,126.688,5.774,1.999,39552,3557,4.392,0.395,3420,0.38,85.19,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,95,7.37,87
"13","AZE","Asia",7239,379,84,2,713.963,37.38,8.285,0.197,362654,11590.3171981826,35.785,0.478731413513021,9322.55842395497,0.416967308344982,47.0121476510067,10139175,119.309,32.4,6.018,3.871,15847.419,5.9,559.812,7.11,0.3,42.5,83.241,4.7,159
"14","BHS","North America",89,6,11,0,226.32,15.258,27.972,0,725110.390214974,104336.118421828,28.4241561972426,0.51562571519761,70118.6853920516,0.419774732524589,74.9215045327897,393248,39.497,34.3,8.996,5.2,27717.847,8.3,235.954,13.17,3.1,20.4,55,2.9,127
"15","BHR","Asia",16200,783,29,3,9520.546,460.16,17.043,1.763,154733.25,4714.68571428571,90.9348,2.77074285714286,3918.26666666667,2.3027,44.6028947368421,1701583,1935.907,32.4,2.372,1.387,43290.705,0,151.689,16.52,5.8,37.6,95,2,162
"16","BGD","Asia",74865,3190,1012,37,454.583,19.37,6.145,0.225,94535.5729166667,4370.36170212766,0.574083333333333,0.0265425531914894,4130.43333333333,0.0250444444444444,77.44125,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,163
"17","BRB","North America",45,11,0,0,156.592,38.278,0,0,6321,104336.118421828,21.997,0.51562571519761,70118.6853920516,0.419774732524589,73.15,287371,664.463,39.8,14.952,9.473,16978.068,3.6,170.05,13.57,1.9,14.5,88.469,5.8,93
"18","BLR","Europe",6264,1485,51,4,662.905,157.154,5.397,0.423,108545,5979,11.487,0.633,5239,0.554,13.89,9449321,46.858,40.3,14.799,9.788,17167.967,0.874193548387097,443.129,5.18,10.5,46.1,94.2155,11,112
"19","BEL","Europe",33573,2454,4440,283,2896.817,211.741,383.102,24.418,132793,6734,11.458,0.581,5937,0.512,81.48,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,94.2155,5.64,107
"20","BLZ","North America",18,4,2,0,45.269,10.06,5.03,0,1776,104336.118421828,4.471,0.51562571519761,70118.6853920516,0.419774732524589,63.89,397621,16.426,25,3.853,2.279,7824.362,43.6,176.957,17.11,13.2,13.6,90.083,1.3,105
"21","BEN","Africa",242,102,2,0,19.962,8.414,0.165,0,45637,4016.05996680804,3.771,0.0868280980559793,3394.7138020026,0.0759311378276896,70.83,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,130
"22","BMU","North America",81,24,5,0,1300.724,385.4,80.292,0,8430,104336.118421828,135.337,0.51562571519761,70118.6853920516,0.419774732524589,96.3,62273,1308.82,33.128,9.945,6.22796,50669.315,8.3,139.547,13,7.73125,20.1666666666667,75.9312142857143,2.31652173913043,107
"23","BTN","Asia",59,11,0,0,76.463,14.256,0,0,20529,11590.3171981826,26.622,0.478731413513021,9322.55842395497,0.416967308344982,67.7338554216867,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,4.68974358974359,39.0564102564103,79.807,1.7,160
"24","BOL","South America",9592,861,310,10,821.723,73.76,26.557,0.857,28957,718,2.481,0.062,995,0.085,87.96,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,10.9333333333333,24.6625,25.383,1.1,152
"25","BES","North America",2,2,0,0,76.275,76.275,0,0,725110.390214974,104336.118421828,28.4241561972426,0.51562571519761,70118.6853920516,0.419774732524589,74.9215045327897,26221,270.565545454545,33.128,9.945,6.22796,21655.2437037037,8.3,197.066884615385,10.8809677419355,7.73125,20.1666666666667,75.9312142857143,2.31652173913043,93
"26","BIH","Europe",1689,101,64,2,514.811,30.785,19.507,0.61,75171,13638.1478773149,22.906,0.704237414321466,15123.6878734078,0.652384570702569,90.74,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,122
"27","BWA","Africa",48,6,1,0,20.411,2.551,0.425,0,26238,4016.05996680804,11.171,0.0868280980559793,3394.7138020026,0.0759311378276896,78.0330769230769,2351625,4.044,25.8,3.941,2.242,15807.374,33.7642857142857,237.372,4.81,5.7,34.4,25.1552727272727,1.8,163
"28","BRA","South America",498440,33274,28834,956,2344.944,156.54,135.651,4.498,226817.333333333,5925.71031746032,1.067,0.246775793650794,8235.97826086957,0.0390869565217391,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,65.9906666666667,2.2,152
"29","VGB","North America",2,2,0,0,66.144,66.144,0,0,212,104336.118421828,0.715,0.51562571519761,70118.6853920516,0.419774732524589,74.9215045327897,30237,207.973,33.128,9.945,6.22796,21655.2437037037,8.3,197.066884615385,13.67,7.73125,20.1666666666667,75.9312142857143,2.31652173913043,87
"30","BRN","Asia",25,14,0,0,57.145,32.001,0,0,24131,11590.3171981826,55.188,0.478731413513021,9322.55842395497,0.416967308344982,50,437483,81.347,32.4,4.591,2.382,71809.251,6.75483870967742,201.285,12.79,2,30.9,72.0893461538462,2.7,73
