"","txsize","txvirtualsize","txinputs_count","txoutputs_count","txinput_val","txoutput_val","txfee","Min_received","Max_received","Avg_received","Total_received","Stdev_received","Var_received","Min_sent","Max_sent","Avg_sent","Total_sent","Stdev_sent","Var_sent"
"134",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"135",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"136",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"137",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"138",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"139",225,225,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"140",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"141",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"142",405,405,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"143",405,405,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"144",406,406,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"145",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"146",405,405,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"147",405,405,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"148",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"149",405,405,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"150",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"151",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"152",403,403,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"153",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"154",406,406,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"155",405,405,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"156",406,406,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"157",258,258,1,2,3.1e+07,3.1e+07,0,0.01,0.3,0.155,0.31,0.205060966544099,0.04205,0.31,0.31,0.31,0.31,0,0
"158",2742,2742,15,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.02,0.02,0.02,0.3,0,0
"159",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"160",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"161",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"162",225,225,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"163",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"164",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"165",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"166",402,402,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"167",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"168",402,402,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.02,0,0,0.01,0.01,0.01,0.02,0,0
"169",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"170",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"171",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"172",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"173",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"174",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"175",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"176",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"177",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"178",5260,5260,29,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.01,0.02,0.010344828,0.3,0.00185695338177052,3.44827586206897e-06
"179",1126,1126,6,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.02,0.2,0.05,0.3,0.0734846922834953,0.0054
"180",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"181",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"182",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"183",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"184",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"185",225,225,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"186",439,439,2,2,4e+07,4e+07,0,0.1,0.3,0.2,0.4,0.14142135623731,0.02,0.15,0.25,0.2,0.4,0.0707106781186548,0.005
"187",765,765,4,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.01,0.25,0.075,0.3,0.116761865920913,0.0136333333333333
"188",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"189",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"190",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"191",2926,2926,16,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.01,0.02,0.01875,0.3,0.00341565025531987,1.16666666666667e-05
"192",225,225,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
